"id";"name";"d1";"d2";"d3";"d4"
59;"SAP SE (SAP)";"4018000";"3646000";"3064000";"3280000"
60;"Eni S.p.A. (E)";"3374000";"-1464000";"-8778000";"1303000"
61;"Amgen Inc. (AMGN)";"1979000";"7722000";"6939000";"5158000"
62;"Netflix, Inc. (NFLX)";"558929";"186678";"122641";"266799"
63;"AbbVie Inc. (ABBV)";"5309000";"5953000";"5144000";"1774000"
64;"Altria Group, Inc. (MO)";"10222000";"14239000";"5241000";"5070000"
65;"Telecom Italia S.p.A. (TI)";"1121000";"1808000";"-70000";"1350000"
66;"NIKE, Inc. (NKE)";"1933000";"4240000";"3760000";"3273000"
67;"Medtronic plc (MDT)";"3104000";"4028000";"3538000";"2675000"
68;"DowDuPont Inc. (DWDP)";"1460000";"4318000";"7685000";"3772000"
69;"Eli Lilly and Company (LLY)";"-204100";"2737600";"2408400";"2390500"
70;"Adobe Inc. (ADBE)";"1693954";"1168782";"629551";"268395"
71;"Abbott Laboratories (ABT)";"477000";"1400000";"4423000";"2284000"
72;"BHP Billiton Limited (BHP)";"3705000";"5890000";"-6385000";"1910000"
73;"NVIDIA Corporation (NVDA)";"3047000";"1666000";"614000";"631000"
74;"3M Company (MMM)";"4858000";"5050000";"4833000";"4956000"
75;"Union Pacific Corporation (UNP)";"10712000";"4233000";"4772000";"5180000"
76;"International Business Machines Corporation (IBM)";"5753000";"11872000";"13190000";"12022000"
77;"Sanofi (SNY)";"8434000";"4709000";"4287000";"4390000"
78;"Honeywell International Inc. (HON)";"1655000";"4809000";"4768000";"4239000"
79;"Verizon Communications Inc. (VZA)";"30101000";"13127000";"17879000";"9625000"
80;"Royal Bank of Canada (RY)";"11428000";"10405000";"9925000";"8910000"
81;"The Toronto-Dominion Bank (TD)";"10396000";"8821000";"7912000";"7776000"
82;"salesforce.com, inc. (CRM)";"127478";"179632";"-47426";"-262688"
83;"ING Groep N.V. PERP HYB6.375% (ISF)";"4905000";"4651000";"4010000";"963000"
84;"ING Groep N.V. PERP DBT 6.125 (ISG)";"4905000";"4651000";"4010000";"963000"
85;"Petróleo Brasileiro S.A. - Petrobras (PBR)";"-446000";"-14824000";"-34836000";"-21587000"
86;"Accenture plc (ACN)";"4059907";"3445149";"4111892";"3053581"
87;"Costco Wholesale Corporation (COST)";"3134000";"2679000";"2350000";"2377000"
88;"United Technologies Corporation (UTX)";"4552000";"5055000";"7608000";"6220000"
89;"GlaxoSmithKline plc (GSK)";"1532000";"912000";"8422000";"2756000"
90;"General Electric Company (GE)";"-5786000";"8831000";"-6126000";"15233000"
91;"AstraZeneca PLC (AZN)";"3001000";"3499000";"2825000";"1233000"
92;"China Petroleum & Chemical Corporation (SNP)";"51244000";"46672000";"32512000";"46639000"
93;"PayPal Holdings, Inc. (PYPL)";"1795000";"1401000";"1228000";"419000"
94;"United Parcel Service, Inc. (UPS)";"4910000";"3431000";"4844000";"3032000"
95;"Thermo Fisher Scientific Inc. (TMO)";"2225000";"2022000";"1975000";"1894400"
96;"Gilead Sciences, Inc. (GILD)";"4628000";"13501000";"18108000";"12101000"
97;"QUALCOMM Incorporated (QCOM)";"2466000";"5705000";"5271000";"7967000"
98;"Texas Instruments Incorporated (TXN)";"3682000";"3595000";"2986000";"2821000"
99;"American Express Company (AXP)";"2736000";"5408000";"5163000";"5885000"
100;"Banco Santander (Brasil) S.A. (BSBR)";"8924064";"7334563";"9783740";"5630023"
101;"Novo Nordisk A/S (NVO)";"38130000";"37925000";"34860000";"26481000"
102;"Rio Tinto plc (RIO)";"8762000";"4617000";"-866000";"6527000"
103;"Booking Holdings Inc. (BKNG)";"2340765";"2134987";"2551360";"2421753"
104;"Equinor ASA (EQNR)";"4590000";"-2922000";"-5192000";"3871000"
105;"Twenty-First Century Fox, Inc. (FOXA)";"4464000";"2952000";"2755000";"8306000"
106;"Twenty-First Century Fox, Inc. (FOX)";"4464000";"2952000";"2755000";"8306000"
107;"U.S. Bancorp (USB)";"6218000";"5888000";"5879000";"5851000"
108;"NextEra Energy, Inc. (NEE)";"5378000";"2912000";"2752000";"2465000"
109;"The Goldman Sachs Group, Inc. (GS)";"4286000";"7398000";"6083000";"8477000"
110;"Lockheed Martin Corporation (LMT)";"2002000";"5302000";"3605000";"3614000"
111;"Bristol-Myers Squibb Company (BMY)";"1007000";"4457000";"1565000";"2004000"
112;"Starbucks Corporation (SBUX)";"2884700";"2817700";"2757400";"2068100"
113;"ConocoPhillips (COP)";"-855000";"-3615000";"-4428000";"6869000"
114;"Broadcom Inc. (AVGO)";"1692000";"-1739000";"1364000";"263000"
115;"Morgan Stanley (MS)";"6111000";"5979000";"6127000";"3467000"
116;"Mitsubishi UFJ Financial Group, Inc. (MUFG)";"1228160000";"202680000";"802332000";"1531127000"
117;"Banco Santander, S.A. (SAN)";"6619000";"6204000";"5966000";"5816000"
118;"Lowe's Companies, Inc. (LOW)";"3447000";"3093000";"2546000";"2698000"
119;"CNOOC Limited (CEO)";"24677000";"637000";"20246000";"60199000"
120;"Vale S.A. (VALE)";"17627000";"13311000";"-44213000";"954000"
121;"Walgreens Boots Alliance, Inc. (WBA)";"5024000";"4078000";"4173000";"4220000"
122;"China Life Insurance Company Limited (LFC)";"32253000";"19127000";"34699000";"32211000"
123;"CVS Health Corporation (CVS)";"6622000";"5317000";"5237000";"4644000"
124;"Schlumberger Limited (SLB)";"-1505000";"-1687000";"2072000";"5438000"
125;"ASML Holding N.V. (ASML)";"2225200";"1556900";"1619500";"1418320"
126;"Charter Communications, Inc. (CHTR)";"9895000";"3522000";"-271000";"-183000"
127;"Anthem, Inc. (ANTM)";"3842800";"2469800";"2560000";"2569700"
128;"Danaher Corporation (DHR)";"2492100";"2553700";"3357400";"2598400"
129;"Caterpillar Inc. (CAT)";"754000";"-67000";"2512000";"2452000"
130;"The Kraft Heinz Company (KHC)";"10999000";"3632000";"634000";"657000"
131;"American Tower Corporation (REIT) (AMT)";"1238900";"956400";"685100";"824910"
132;"The TJX Companies, Inc. (TJX)";"2607948";"2298234";"2277658";"2215128"
133;"Dell Technologies Inc. (DVMT)";"-3728000";"-1672000";"-1104000";"-1221000"
134;"Iridium Communications Inc. (IRDMB)";"233856";"111032";"7123";"74989"
135;"The Bank of Nova Scotia (BNS)";"8005000";"7117000";"7014000";"7071000"
136;"Ambev S.A. (ABEV)";"7332000";"12546600";"12423800";"12065500"
137;"Sony Corporation (SNE)";"490794000";"73289000";"147791000";"-125980000"
138;"Aetna Inc. (AET)";"1904000";"2271000";"2390000";"2041000"
139;"Baidu, Inc. (BIDU)";"18301000";"11632000";"33664000";"13196932"
140;"BlackRock, Inc. (BLK)";"4970000";"3172000";"3345000";"3294000"
141;"Westpac Banking Corporation (WBK)";"7990000";"7445000";"8012000";"7561000"
142;"Becton, Dickinson and Company (BDX)";"1100000";"976000";"695000";"1185000"
143;"CME Group Inc. (CME)";"4063400";"1534100";"1247000";"1127100"
144;"Biogen Inc. (BIIB)";"2539100";"3702800";"3547000";"2934800"
145;"Stryker Corporation (SYK)";"1020000";"1647000";"1439000";"515000"
146;"Canadian National Railway Company (CNI)";"5484000";"3640000";"3538000";"3167000"
147;"Duke Energy Corporation (DUK)";"3059000";"2152000";"2816000";"1883000"
148;"Automatic Data Processing, Inc. (ADP)";"1620800";"1733400";"1492500";"1452500"
149;"EOG Resources, Inc. (EOG)";"2582579";"-1096686";"-4524515";"2915487"
150;"Allergan plc (AGN)";"-4125500";"14973400";"3915200";"-1630500"
151;"The Charles Schwab Corporation (SCHW)";"2354000";"1889000";"1447000";"1321000"
152;"Mondelez International, Inc. (MDLZ)";"2922000";"1659000";"7267000";"2184000"
153;"Enterprise Products Partners L.P. (EPD)";"2799300";"2513100";"2521200";"2787400"
154;"Tesla, Inc. (TSLA)";"-1961400";"-674914";"-888663";"-294040"
155;"Chubb Limited (CB)";"3861000";"4135000";"2834000";"2853000"
156;"The PNC Financial Services Group, Inc. (PNC)";"5338000";"3903000";"4106000";"4184000"
157;"VMware, Inc. (VMW)";"570000";"-96000";"1186000";"997000"
158;"Simon Property Group, Inc. (SPG)";"1947962";"1838896";"1827720";"1408588"
159;"FedEx Corporation (FDX)";"4572000";"2997000";"1820000";"1050000"
160;"CSX Corporation (CSX)";"5471000";"1714000";"1968000";"1927000"
161;"T-Mobile US, Inc. (TMUS)";"4536000";"1460000";"733000";"247000"
162;"Intuitive Surgical, Inc. (ISRG)";"660000";"735900";"588800";"418800"
163;"Altaba Inc. (AABA)";"24718085";"-214321";"-4359082";"7521731"
164;"Suncor Energy Inc. (SU)";"4458000";"434000";"-1995000";"2699000"
165;"Express Scripts Holding Company (ESRX)";"4517400";"3404400";"2476400";"2007600"
166;"Banco Bradesco S.A. (BBDO)";"14657755";"15083578";"18132906";"15314943"
167;"Enbridge Inc. (ENB)";"2859000";"2069000";"251000";"1405000"
168;"Sumitomo Mitsui Financial Group, Inc. (SMFG)";"769720000";"635799000";"846693000";"753610000"
169;"Aegon N.V. PERP CAP SECS (AED)";"2469000";"437000";"-432000";"765000"
170;"Intuit Inc. (INTU)";"1211000";"971000";"979000";"365000"
171;"Aegon N.V. PRP CP SEC 6.375 (AEH)";"2469000";"437000";"-432000";"765000"
172;"Occidental Petroleum Corporation (OXY)";"1311000";"-574000";"-7829000";"616000"
173;"Cigna Corporation (CI)";"2237000";"1867000";"2094000";"2102000"
174;"Colgate-Palmolive Company (CL)";"2024000";"2441000";"1384000";"2180000"
175;"Vodafone Group Plc (VOD)";"2439000";"-6297000";"-5405000";"7279000"
176;"Celgene Corporation (CELG)";"2940000";"1999000";"1602000";"1999900"
177;"Prudential plc (PUK)";"2389000";"1921000";"2579000";"2216000"
178;"Activision Blizzard, Inc. (ATVI)";"273000";"966000";"892000";"835000"
179;"General Dynamics Corporation (GD)";"2912000";"2572000";"3036000";"2533000"
180;"UBS Group AG (UBS)";"1053000";"3204000";"6203000";"3608000"
181;"Boston Scientific Corporation (BSX)";"104000";"347000";"-239000";"-119000"
182;"Raytheon Company (RTN)";"2024000";"2244000";"2110000";"2244000"
183;"América Móvil, S.A.B. de C.V. (AMX)";"29325921";"8649427";"35054772";"46146370"
184;"Bank of Montreal (BMO)";"5348000";"4622000";"4370000";"4277000"
185;"Praxair, Inc. (PX)";"1247000";"1500000";"1547000";"1694000"
186;"Ecopetrol S.A. (EC)";"7178539000";"2447881000";"-7193859000";"5046517000"
187;"América Móvil, S.A.B. de C.V. (AMOV)";"29325921";"8649427";"35054772";"46146370"
188;"Dominion Energy, Inc. (D)";"2999000";"2123000";"1899000";"1310000"
189;"Honda Motor Co., Ltd. (HMC)";"1059337000";"616569000";"344531000";"509435000"
190;"Aegon N.V. PERP CAP FLTG RT (AEB)";"2469000";"437000";"-432000";"765000"
191;"The Southern Company (SO)";"842000";"2448000";"2367000";"1963000"
192;"General Motors Company (GM)";"-3864000";"9427000";"9687000";"3949000"
193;"The Estée Lauder Companies Inc. (EL)";"1108000";"1249000";"1115000";"1089000"
194;"ING Groep N.V. (ING)";"4905000";"4651000";"4010000";"963000"
195;"Phillips 66 (PSX)";"5106000";"1555000";"4227000";"4762000"
196;"The Bank of New York Mellon Corporation (BK)";"4090000";"3547000";"3158000";"2567000"
197;"HCA Healthcare, Inc. (HCA)";"2216000";"2890000";"2129000";"1875000"
198;"Northrop Grumman Corporation (NOC)";"2015000";"2200000";"1990000";"2069000"
199;"Target Corporation (TGT)";"2934000";"2737000";"3363000";"-1636000"
200;"Crown Castle International Corp. (REIT) (CCI)";"444550";"356973";"1520992";"390513"
201;"Norfolk Southern Corporation (NSC)";"5404000";"1668000";"1556000";"2000000"
202;"Humana Inc. (HUM)";"2448000";"614000";"1276000";"1147000"
203;"Vertex Pharmaceuticals Incorporated (VRTX)";"263484";"-112052";"-556334";"-738555"
204;"S&P Global Inc. (SPGI)";"1496000";"2106000";"1156000";"-115000"
205;"Zoetis Inc. (ZTS)";"864000";"821000";"339000";"583000"
206;"Illumina, Inc. (ILMN)";"726000";"463000";"462000";"353351"
207;"RELX NV (RENX)";"1659000";"1161000";"1008000";"955000"
208;"Mizuho Financial Group, Inc. (MFG)";"576547000";"603544000";"670943000";"611935000"
209;"Exelon Corporation (EXC)";"3770000";"1134000";"2269000";"1623000"
210;"Ecolab Inc. (ECL)";"1508400";"1229600";"1002100";"1202800"
211;"British American Tobacco p.l.c. (BTI)";"37485000";"4648000";"4290000";"3115000"
212;"Illinois Tool Works Inc. (ITW)";"1687000";"2035000";"1899000";"2946000"
213;"Deere & Company (DE)";"2159100";"1523900";"1940000";"3161700"
214;"Intercontinental Exchange, Inc. (ICE)";"2514000";"1422000";"1274000";"981000"
215;"Emerson Electric Co. (EMR)";"1518000";"1635000";"2710000";"2147000"
216;"Marsh & McLennan Companies, Inc. (MMC)";"1492000";"1768000";"1599000";"1465000"
217;"ABB Ltd (ABB)";"2213000";"1899000";"1933000";"2594000"
218;"Prologis, Inc. (PLD)";"1652325";"1209932";"869439";"636183"
219;"Orange S.A. (ORAN)";"1906000";"2935000";"2652000";"925000"
220;"Capital One Financial Corporation (COF)";"1982000";"3751000";"4050000";"4428000"
221;"Itaú Unibanco Holding S.A. (ITUB)";"23903000";"23263000";"25740000";"21555000"
222;"Telefónica, S.A. (TEF)";"3132000";"2369000";"616000";"3001000"
223;"Enbridge Inc. 6.375 SNT18 B 78 (ENBA)";"2859000";"2069000";"251000";"1405000"
224;"Micron Technology, Inc. (MU)";"14135000";"5089000";"-276000";"2899000"
225;"Cognizant Technology Solutions Corporation (CTSH)";"1504000";"1553000";"1624000";"1439000"
226;"The Progressive Corporation (PGR)";"1592200";"1031000";"1267600";"1281000"
227;"MetLife, Inc. (MET)";"4010000";"850000";"5373000";"6309000"
228;"Constellation Brands, Inc. (STZ)";"2318900";"1535100";"1054900";"839300"
229;"Las Vegas Sands Corp. (LVS)";"2806000";"1670000";"1966000";"2841000"
230;"American Electric Power Company, Inc. (AEP)";"1912600";"610900";"2047100";"1633800"
231;"Marriott International, Inc. (MAR)";"1372000";"780000";"859000";"753000"
232;"RELX PLC (RELX)";"1659000";"1161000";"1008000";"955000"
233;"Infosys Limited (INFY)";"2486000";"2140000";"2052000";"2013000"
234;"Vistra Energy Corp. TANGIBLE EQUITY (DYNC)";"-254000";"22688000";"-4677000";"-6229000"
235;"Banco Bilbao Vizcaya Argentaria, S.A. (BBVA)";"3519000";"3475000";"2642000";"2618000"
236;"Brookfield Asset Management Inc. (BAM)";"1462000";"1651000";"2341000";"3110000"
237;"Canadian Imperial Bank of Commerce (CM)";"4699000";"4275000";"3576000";"3218000"
238;"Prudential Financial, Inc. (PRU)";"7863000";"4368000";"5642000";"1381000"
239;"Carnival Corporation (CCL)";"2606000";"2779000";"1757000";"1216000"
240;"Ford Motor Company (F)";"7602000";"4596000";"7373000";"1231000"
241;"Aon plc (AON)";"1226000";"1396000";"1385000";"1397000"
242;"Valero Energy Corporation (VLO)";"4065000";"2289000";"3990000";"3630000"
243;"China Telecom Corporation Limited (CHA)";"18617000";"18018000";"20054000";"17680000"
244;"Barclays PLC (BCS)";"-1283000";"2080000";"-49000";"76000"
245;"Waste Management, Inc. (WM)";"1949000";"1182000";"753000";"1298000"
246;"BB&T Corporation (BBT)";"2394000";"2426000";"2084000";"2131000"
247;"Ross Stores, Inc. (ROST)";"1362753";"1117654";"1020661";"924724"
248;"Delta Air Lines, Inc. (DAL)";"3577000";"4373000";"4526000";"659000"
249;"Sysco Corporation (SYY)";"1430766";"1142503";"949622";"686773"
250;"HP Inc. (HPQ)";"2526000";"2496000";"4554000";"5013000"
251;"The Blackstone Group L.P. (BX)";"1470830";"1039235";"709789";"1584589"
252;"Kinder Morgan, Inc. (KMI)";"183000";"708000";"253000";"1026000"
253;"Baxter International Inc. (BAX)";"717000";"4965000";"968000";"2497000"
254;"Public Storage (PSA)";"1442217";"1453576";"1311244";"1144204"
255;"American International Group, Inc. (AIG)";"-6084000";"-849000";"2196000";"7529000"
256;"Kimberly-Clark Corporation (KMB)";"2278000";"2166000";"1013000";"1526000"
257;"BCE Inc. (BCE)";"2914000";"3031000";"2678000";"2500000"
258;"The Royal Bank of Scotland Group plc (RBS)";"1380000";"-5258000";"-1594000";"-2771000"
259;"LyondellBasell Industries N.V. (LYB)";"4879000";"3836000";"4476000";"4174000"
260;"The Sherwin-Williams Company (SHW)";"1772262";"1132703";"1053849";"865887"
261;"TransCanada Corporation (TRP)";"3157000";"233000";"-1146000";"1840000"
262;"Koninklijke Philips N.V. (PHG)";"1657000";"1448000";"624000";"415000"
263;"Canadian Natural Resources Limited (CNQ)";"2397000";"-204000";"-637000";"3929000"
264;"Air Products and Chemicals, Inc. (APD)";"3000400";"631100";"1277900";"991700"
265;"Fidelity National Information Services, Inc. (FIS)";"1319000";"568000";"632000";"679000"
266;"The Allstate Corporation (ALL)";"3189000";"1877000";"2171000";"2850000"
267;"The Travelers Companies, Inc. (TRV)";"2056000";"3014000";"3439000";"3692000"
268;"Aflac Incorporated (AFL)";"4604000";"2659000";"2533000";"2951000"
269;"Thomson Reuters Corporation (TRI)";"1395000";"3098000";"1255000";"1909000"
270;"V.F. Corporation (VFC)";"1011172";"614923";"1074106";"1231593"
271;"Credit Suisse Group AG (CS)";"-983000";"-2710000";"-2944000";"1875000"
272;"Nutrien Ltd. (NTR)";"327000";"323000";"1270000";"1536000"
273;"Fiserv, Inc. (FISV)";"1246000";"930000";"712000";"754000"
274;"JD.com, Inc. (JD)";"-152257";"-3806790";"-9107940";"-4996358"
275;"Nokia Corporation (NOK)";"-1494000";"-766000";"2466000";"3462000"
276;"Eaton Corporation plc (ETN)";"2985000";"1916000";"1972000";"1793000"
277;"Marathon Petroleum Corporation (MPC)";"3432000";"1174000";"2852000";"2524000"
278;"Sempra Energy (SRE)";"256000";"1370000";"1349000";"1161000"
279;"Applied Materials, Inc. (AMAT)";"3434000";"1721000";"1377000";"1072000"
280;"Equinix, Inc. (REIT) (EQIX)";"232982";"126800";"187774";"-259547"
281;"Canon Inc. (CAJ)";"241923000";"150650000";"220209000";"254797000"
282;"BT Group plc (BT)";"2032000";"1908000";"2466000";"2057000"
283;"Halliburton Company (HAL)";"-463000";"-5763000";"-671000";"3500000"
284;"Manulife Financial Corporation (MFC)";"2068000";"2990000";"2221000";"3522000"
285;"ICICI Bank Limited (IBN)";"77121865";"101883845";"101799585";"122468652"
286;"Analog Devices, Inc. (ADI)";"727259";"861664";"696878";"629320"
287;"Banco Bradesco S.A. (BBD)";"14657755";"15083578";"18132906";"15314943"
288;"Red Hat, Inc. (RHT)";"258803";"253703";"199365";"180201"
289;"SLM Corporation (SLMBP)";"288934";"250327";"274284";"194219"
290;"ServiceNow, Inc. (NOW)";"-149130";"-451804";"-198426";"-179387"
291;"Dollar General Corporation (DG)";"1538960";"1251133";"1165080";"1065345"
292;"Edwards Lifesciences Corporation (EW)";"583600";"569500";"494900";"811100"
293;"Johnson Controls International plc (JCI)";"1611000";"-868000";"1563000";"1215000"
294;"TD Ameritrade Holding Corporation (AMTD)";"872000";"842000";"813000";"787000"
295;"Smith & Nephew plc (SNN)";"767000";"784000";"410000";"501000"
296;"Monster Beverage Corporation (MNST)";"820678";"712685";"546733";"483185"
297;"Anadarko Petroleum Corporation (APC)";"-456000";"-3071000";"-6692000";"-1750000"
298;"Huntington Bancshares Incorporated (HBANO)";"1186000";"712000";"693000";"632392"
299;"Canadian Pacific Railway Limited (CP)";"2405000";"1599000";"1352000";"1476000"
300;"Public Service Enterprise Group Incorporated (PEG)";"1574000";"887000";"1679000";"1518000"
301;"Electronic Arts Inc. (EA)";"1043000";"967000";"1156000";"875000"
302;"Southern Copper Corporation (SCCO)";"728500";"776500";"736400";"1333000"
303;"SunTrust Banks, Inc. (STI)";"2273000";"1878000";"1933000";"1774000"
304;"Southwest Airlines Co. (LUV)";"3488000";"2244000";"2181000";"1136000"
305;"Chunghwa Telecom Co., Ltd. (CHT)";"38988000";"40485000";"42039000";"36970000"
306;"YUM! Brands, Inc. (YUM)";"1340000";"1643000";"1283000";"1051000"
307;"Autodesk, Inc. (ADSK)";"-566900";"-582100";"-330500";"81800"
308;"Moody's Corporation (MCO)";"1000600";"266600";"941300";"988700"
309;"Workday, Inc. (WDAY)";"-321222";"-384699";"-275048";"-247982"
310;"eBay Inc. (EBAY)";"-1016000";"7266000";"1725000";"46000"
311;"O'Reilly Automotive, Inc. (ORLY)";"1133804";"1037691";"931216";"778182"
312;"TE Connectivity Ltd. (TEL)";"1683000";"2009000";"2420000";"1781000"
313;"General Mills, Inc. (GIS)";"2131000";"1657500";"1697400";"1221300"
314;"Archer-Daniels-Midland Company (ADM)";"1595000";"1279000";"1849000";"2248000"
315;"Rogers Communications Inc. (RCI)";"1711000";"835000";"1342000";"1341000"
316;"MPLX LP (MPLX)";"512000";"241000";"275000";"176000"
317;"Worldpay, Inc. (WP)";"130110";"213208";"147946";"125292"
318;"ONEOK, Inc. (OKE)";"387841";"352039";"244977";"314107"
319;"Telefonaktiebolaget LM Ericsson (publ) (ERIC)";"-35206000";"1716000";"13549000";"11568000"
320;"NetEase, Inc. (NTES)";"10707939";"11604520";"6735108";"4756623"
321;"China Unicom (Hong Kong) Limited (CHU)";"1828000";"625000";"10562000";"12055000"
322;"Amphenol Corporation (APH)";"650500";"822900";"763500";"709100"
323;"Centene Corporation (CNC)";"828000";"562000";"355000";"271000"
324;"Xcel Energy Inc. (XEL)";"1148000";"1123000";"984000";"1021306"
325;"CBS Corporation (CBS)";"357000";"1261000";"1413000";"2959000"
326;"Fortive Corporation (FTV)";"1044500";"872300";"863800";"883400"
327;"State Street Corporation (STT)";"2177000";"2143000";"1980000";"2022000"
328;"ArcelorMittal (MT)";"4568000";"1779000";"-7946000";"-1086000"
329;"Alexion Pharmaceuticals, Inc. (ALXN)";"443300";"399400";"144400";"657000"
330;"Energy Transfer Partners, L.P. (ETP)";"1091000";"-660000";"325000";"823000"
331;"Imperial Oil Limited (IMO)";"490000";"2165000";"1122000";"3785000"
332;"Sirius XM Holdings Inc. (SIRI)";"647908";"745933";"509724";"493241"
333;"Fiat Chrysler Automobiles N.V. (FCAU)";"3491000";"1803000";"334000";"568000"
334;"PPG Industries, Inc. (PPG)";"1594000";"873000";"1406000";"2102000"
335;"AvalonBay Communities, Inc. (AVB)";"876921";"1034002";"742038";"683567"
336;"Welltower Inc. (WELL)";"522774";"1077803";"883750";"512153"
337;"IQVIA Holdings Inc. (IQV)";"1309000";"115000";"387000";"357000"
338;"Equity Residential (EQR)";"603454";"4292163";"870120";"631308"
339;"Pioneer Natural Resources Company (PXD)";"833000";"-556000";"-273000";"930000"
340;"Kellogg Company (K)";"1269000";"694000";"614000";"632000"
341;"NXP Semiconductors N.V. (NXPI)";"2215000";"200000";"1526000";"539000"
342;"Fresenius Medical Care AG & Co. KGaA (FMS)";"1279788";"1143980";"954946";"1045266"
343;"PG&E Corporation (PCG)";"1646000";"1393000";"874000";"1436000"
